InvInsideVehID,InvInsideVehName,Created,Modified,CreatedBy,ModifiedBy
1,Owner Manual,,,,
2,Spare Wheel,,,,
3,Jack & Handle,,,,
4,Tool Kit,,,,
5,Floor Mat,,,,
6,Mud Flap,,,,
7,Stereo,,,,
8,Clock,,,,
9,Wheel Cap,,,,
10,Pendrive,,,,
11,Key Chain,,,,
12,Pillow,,,,
13,Mobile Charger,,,,
14,Cigarette Lighter,,,,
15,CDs,,,,
16,CD Magazine,,,,
17,Body Cover,,,,
18,Perfume,,,,
19,Fog Lamp,,,,
20,Antena,,,,
21,Stereo Remote,,,,
22,Central Lock Remote,,,,
