AccMainGroupID,MainGroupName,MainGroupType,Created
1,Capital Account,Liabilities,
2,Loans (Liability),Liabilities,
3,Current Liabilities,Liabilities,
4,Profit & Loss A/c,Liabilities,
5,Fixed Assets,Assets,
6,Current Assets,Assets,
