ConsumableTypeID,ConsumableName,Createted,Modify
1,VALUE ADDITION,2018-06-20 14:44:12.743000,2018-06-20 14:44:12.743000
2,BODYSHOP,2018-06-20 14:44:24.230000,2018-06-20 14:44:24.230000
3,MECHANICAL,2018-06-20 14:44:31.583000,2018-06-20 14:44:31.583000
9,TYRE,2019-01-02 11:46:51.143000,2019-01-02 11:46:51.143000
10,ACCESSORIES,2020-12-24 15:01:03.590000,2020-12-24 15:01:03.590000
