CheckListGroupID,CheckListGroupName,Remark,Sequence,Created
1,ENGINE COMPONENTS,,,
2,BRAKE,,,
3,SUSPENSION,,,
4,STEERING,,,
5,VALUE ADDITION,,,
6,MISC,,,
7,AIR CONDITIONER,,0,
8,BODY,,,
9,WHEELS & TYRES,,,
10,ON ROAD PERFORMANCE,,,
11,COOLING SYSTEM,,,
12,CLUTCH & GEAR,,,
13,ELECTRICAL,,,
14,WIPING,,,
