SegmentID,SegmentName,Created,Modified,CreatedBy,ModifiedBy
1,SEG-A,,,,
2,SEG-B,,,,
3,SEG-C,,,,
4,SEG-D,,,,
5,SEG-F,,,,
6,SEG-P1,,,,
7,SEG-P2,,,,
8,SEG-P3,,,,
9,SEG-E,,,,
10,SEG-P4,,,,
